ph,temp,type
8.3,25.5,ikan nila
8.5,25.6,ikan nila
8.1,25.9,ikan nila
7.6,26.1,ikan nila
8.7,26.0,ikan nila
8.7,25.9,ikan nila
8.0,25.9,ikan nila
7.8,25.8,ikan nila
8.9,25.7,ikan nila
7.6,25.7,ikan nila
7.5,25.6,ikan nila
8.4,25.4,ikan nila
7.7,25.3,ikan nila
8.2,24.5,ikan nila
8.8,24.4,ikan nila
8.5,24.1,ikan nila
8.8,23.9,ikan nila
8.7,23.7,ikan nila
7.4,23.3,ikan nila
8.8,23.1,ikan nila
7.7,23.0,ikan nila
8.1,22.7,ikan nila
7.7,22.7,ikan nila
8.1,22.4,ikan nila
8.8,22.3,ikan nila
8.4,22.1,ikan nila
7.9,22.0,ikan nila
7.4,21.7,ikan nila
8.2,21.7,ikan nila
8.3,21.7,ikan nila
8.0,21.6,ikan nila
7.3,21.5,ikan nila
8.5,21.4,ikan nila
8.4,21.1,ikan nila
8.3,21.2,ikan nila
8.8,21.3,ikan nila
8.8,22.0,ikan nila
8.6,22.1,ikan nila
7.6,22.1,ikan nila
8.3,22.9,ikan nila
7.9,23.6,ikan nila
7.9,23.7,ikan nila
7.3,24.2,ikan nila
8.4,24.2,ikan nila
7.6,24.5,ikan nila
7.6,24.7,ikan nila
7.7,24.9,ikan nila
7.5,25.2,ikan nila
8.1,25.3,ikan nila
8.3,25.6,ikan nila
8.9,26.1,ikan nila
7.6,26.0,ikan nila
7.4,25.9,ikan nila
7.7,25.5,ikan nila
7.3,25.2,ikan nila
7.9,25.1,ikan nila
7.6,25.0,ikan nila
8.4,24.8,ikan nila
8.5,24.6,ikan nila
8.0,24.5,ikan nila
8.2,24.3,ikan nila
7.3,24.3,ikan nila
7.6,24.1,ikan nila
8.1,24.0,ikan nila
7.7,24.0,ikan nila
7.6,23.8,ikan nila
7.3,23.7,ikan nila
7.4,23.7,ikan nila
7.4,23.6,ikan nila
8.8,23.5,ikan nila
7.4,23.4,ikan nila
8.1,23.2,ikan nila
8.2,23.0,ikan nila
8.5,22.9,ikan nila
8.4,22.7,ikan nila
7.9,22.7,ikan nila
8.6,22.5,ikan nila
7.8,22.4,ikan nila
8.5,22.2,ikan nila
7.5,22.1,ikan nila
8.2,22.0,ikan nila
8.4,21.7,ikan nila
8.5,21.6,ikan nila
7.6,21.6,ikan nila
7.6,21.4,ikan nila
7.6,21.0,ikan nila
8.8,21.2,ikan nila
8.9,21.3,ikan nila
8.5,21.5,ikan nila
8.9,21.9,ikan nila
8.1,22.1,ikan nila
8.2,22.3,ikan nila
7.8,22.5,ikan nila
7.5,22.7,ikan nila
8.2,22.7,ikan nila
7.3,23.5,ikan nila
7.7,23.8,ikan nila
8.7,23.9,ikan nila
8.8,24.1,ikan nila
8.8,24.2,ikan nila
8.5,24.2,ikan nila
7.9,24.5,ikan nila
8.9,24.8,ikan nila
8.0,24.9,ikan nila
7.8,25.6,ikan nila
7.8,25.5,ikan nila
8.6,25.1,ikan nila
8.3,25.1,ikan nila
8.8,25.1,ikan nila
8.1,24.9,ikan nila
8.6,24.8,ikan nila
7.5,24.8,ikan nila
8.9,24.7,ikan nila
8.5,23.9,ikan nila
8.8,23.8,ikan nila
8.4,23.8,ikan nila
8.3,23.7,ikan nila
8.0,23.7,ikan nila
8.5,23.7,ikan nila
8.6,23.1,ikan nila
8.9,23.1,ikan nila
8.0,22.9,ikan nila
8.3,22.6,ikan nila
7.3,22.6,ikan nila
8.8,22.5,ikan nila
7.7,22.3,ikan nila
7.7,22.2,ikan nila
7.3,21.7,ikan nila
8.3,21.1,ikan nila
7.9,21.0,ikan nila
8.7,21.7,ikan nila
7.3,21.8,ikan nila
8.9,21.8,ikan nila
8.3,22.3,ikan nila
8.2,22.5,ikan nila
8.8,22.6,ikan nila
8.6,22.8,ikan nila
7.8,22.8,ikan nila
7.4,22.8,ikan nila
8.3,23.0,ikan nila
8.3,24.0,ikan nila
7.6,24.6,ikan nila
8.8,24.8,ikan nila
8.0,25.4,ikan nila
8.7,25.5,ikan nila
8.2,25.8,ikan nila
7.9,25.6,ikan nila
8.3,25.2,ikan nila
7.4,25.1,ikan nila
8.5,24.7,ikan nila
7.3,24.7,ikan nila
8.1,24.6,ikan nila
8.1,24.4,ikan nila
8.7,24.2,ikan nila
7.7,24.1,ikan nila
8.0,23.8,ikan nila
8.3,23.8,ikan nila
8.1,23.7,ikan nila
7.5,23.7,ikan nila
8.8,23.3,ikan nila
7.9,23.2,ikan nila
8.8,23.2,ikan nila
7.3,23.1,ikan nila
8.7,23.0,ikan nila
8.8,22.8,ikan nila
8.4,22.8,ikan nila
8.3,22.5,ikan nila
7.7,22.4,ikan nila
7.9,22.4,ikan nila
8.6,22.3,ikan nila
7.3,22.2,ikan nila
7.6,22.2,ikan nila
7.8,21.9,ikan nila
8.6,21.7,ikan nila
7.7,21.7,ikan nila
8.1,21.6,ikan nila
7.8,21.3,ikan nila
8.6,21.0,ikan nila
8.9,21.4,ikan nila
8.4,21.6,ikan nila
8.2,21.8,ikan nila
7.4,21.9,ikan nila
7.5,22.3,ikan nila
8.9,23.0,ikan nila
8.1,23.1,ikan nila
7.8,23.1,ikan nila
8.7,23.2,ikan nila
8.1,23.8,ikan nila
8.5,24.4,ikan nila
8.8,24.5,ikan nila
7.7,25.4,ikan nila
8.9,25.5,ikan nila
7.5,25.8,ikan nila
8.5,25.7,ikan nila
8.6,25.6,ikan nila
8.8,25.6,ikan nila
8.5,25.5,ikan nila
8.2,25.2,ikan nila
7.8,24.7,ikan nila
8.8,24.7,ikan nila
8.0,24.3,ikan nila
8.7,24.3,ikan nila
7.6,24.0,ikan nila
8.2,23.7,ikan nila
8.2,23.5,ikan nila
8.6,23.5,ikan nila
7.7,23.5,ikan nila
7.8,23.3,ikan nila
8.0,22.7,ikan nila
8.3,22.2,ikan nila
8.1,21.9,ikan nila
7.4,21.8,ikan nila
7.7,21.8,ikan nila
8.7,21.0,ikan nila
7.9,21.4,ikan nila
8.4,21.9,ikan nila
8.0,22.4,ikan nila
8.0,23.0,ikan nila
7.7,23.6,ikan nila
7.3,23.8,ikan nila
7.7,23.9,ikan nila
7.9,24.1,ikan nila
8.7,24.4,ikan nila
8.1,24.7,ikan nila
8.1,25.1,ikan nila
7.8,25.4,ikan nila
8.9,25.6,ikan nila
7.7,26.0,ikan nila
7.8,26.0,ikan nila
8.6,25.9,ikan nila
7.9,25.7,ikan nila
7.6,25.5,ikan nila
8.5,25.2,ikan nila
7.6,24.9,ikan nila
7.8,24.4,ikan nila
7.5,24.3,ikan nila
8.4,24.0,ikan nila
7.9,23.9,ikan nila
8.6,23.8,ikan nila
8.9,23.7,ikan nila
8.1,23.6,ikan nila
8.6,23.2,ikan nila
7.6,22.7,ikan nila
8.9,23.9,ikan nila
8.5,23.8,ikan nila
8.2,23.4,ikan nila
7.3,23.4,ikan nila
8.0,23.1,ikan nila
8.2,22.9,ikan nila
7.5,22.9,ikan nila
8.0,22.8,ikan nila
8.1,22.6,ikan nila
7.3,22.3,ikan nila
7.3,22.1,ikan nila
8.6,22.0,ikan nila
8.9,22.2,ikan nila
8.2,23.1,ikan nila
7.5,23.2,ikan nila
8.9,23.2,ikan nila
8.9,23.4,ikan nila
7.4,24.5,ikan nila
7.5,25.3,ikan nila
8.0,25.6,ikan nila
8.0,25.8,ikan nila
8.1,26.4,ikan nila
7.4,26.4,ikan nila
8.4,26.7,ikan nila
7.4,26.9,ikan nila
8.9,26.9,ikan nila
8.1,26.8,ikan nila
8.7,26.8,ikan nila
8.8,26.7,ikan nila
8.3,26.6,ikan nila
8.9,26.6,ikan nila
7.5,26.4,ikan nila
8.9,26.3,ikan nila
8.6,26.1,ikan nila
8.4,25.7,ikan nila
7.3,25.6,ikan nila
7.8,25.3,ikan nila
7.7,25.2,ikan nila
8.6,25.2,ikan nila
7.7,25.0,ikan nila
8.7,25.0,ikan nila
8.7,24.9,ikan nila
7.5,24.4,ikan nila
7.6,23.7,ikan nila
8.3,23.5,ikan nila
7.6,23.2,ikan nila
7.8,23.2,ikan nila
8.8,23.0,ikan nila
8.4,24.6,ikan nila
8.7,25.3,ikan nila
7.4,25.4,ikan nila
8.2,25.7,ikan nila
7.5,25.9,ikan nila
8.3,26.5,ikan nila
7.3,26.7,ikan nila
7.6,27.1,ikan nila
8.0,27.4,ikan nila
8.3,27.4,ikan nila
8.2,27.4,ikan nila
7.3,27.5,ikan nila
7.4,27.6,ikan nila
8.7,27.4,ikan nila
8.3,26.8,ikan nila
7.6,26.7,ikan nila
7.6,26.4,ikan nila
8.6,26.2,ikan nila
7.3,25.9,ikan nila
7.5,25.7,ikan nila
8.5,25.3,ikan nila
7.8,25.1,ikan nila
8.9,25.0,ikan nila
8.2,25.0,ikan nila
7.5,24.9,ikan nila
8.9,24.6,ikan nila
8.3,24.3,ikan nila
7.5,24.1,ikan nila
8.9,24.9,ikan nila
8.2,24.9,ikan nila
8.7,24.6,ikan nila
8.6,24.3,ikan nila
8.1,24.2,ikan nila
7.3,24.1,ikan nila
8.3,24.2,ikan nila
8.1,24.5,ikan nila
8.4,24.9,ikan nila
8.7,25.1,ikan nila
7.6,25.2,ikan nila
8.7,25.2,ikan nila
8.0,26.2,ikan nila
7.9,26.4,ikan nila
8.7,27.2,ikan nila
8.4,27.2,ikan nila
8.5,27.3,ikan nila
7.9,27.4,ikan nila
7.9,27.6,ikan nila
7.5,28.3,ikan nila
7.7,28.7,ikan nila
8.6,28.9,ikan nila
8.8,29.4,ikan nila
7.9,29.4,ikan nila
7.5,29.8,ikan nila
7.4,29.7,ikan nila
8.1,29.5,ikan nila
8.5,29.5,ikan nila
7.8,29.4,ikan nila
7.3,29.3,ikan nila
7.8,29.3,ikan nila
7.5,28.8,ikan nila
7.9,28.7,ikan nila
8.2,28.5,ikan nila
8.7,28.3,ikan nila
7.4,28.1,ikan nila
7.6,27.9,ikan nila
7.4,27.8,ikan nila
7.4,27.3,ikan nila
8.3,26.4,ikan nila
8.6,26.4,ikan nila
8.5,26.3,ikan nila
7.5,26.1,ikan nila
8.1,26.1,ikan nila
8.9,25.8,ikan nila
8.5,25.8,ikan nila
8.1,25.7,ikan nila
8.2,25.6,ikan nila
8.0,25.5,ikan nila
8.3,25.4,ikan nila
8.9,25.4,ikan nila
7.6,25.3,ikan nila
8.2,24.8,ikan nila
8.0,25.1,ikan nila
8.1,25.5,ikan nila
8.1,26.5,ikan nila
7.5,26.6,ikan nila
8.0,27.6,ikan nila
7.8,27.6,ikan nila
8.3,27.7,ikan nila
8.9,27.7,ikan nila
7.6,27.8,ikan nila
8.4,28.2,ikan nila
6.2,33.1,unknown
6.6,32.6,ikan nila
6.4,34.0,unknown
5.8,35.7,unknown
7.8,24.6,ikan nila
7.7,24.6,ikan nila
8.6,24.6,ikan nila
8.7,24.0,ikan nila
9.0,23.9,ikan nila
8.1,23.9,ikan nila
8.7,22.9,ikan nila
8.6,22.6,ikan nila
8.4,22.3,ikan nila
8.6,22.2,ikan nila
8.4,22.2,ikan nila
8.8,21.9,ikan nila
8.1,21.3,ikan nila
8.0,21.5,ikan nila
7.6,21.7,ikan nila
8.0,22.0,ikan nila
8.7,22.2,ikan nila
7.6,22.6,ikan nila
8.2,23.2,ikan nila
7.5,23.3,ikan nila
7.6,24.4,ikan nila
8.9,25.2,ikan nila
8.6,25.4,ikan nila
8.7,25.6,ikan nila
8.6,25.7,ikan nila
8.4,25.8,ikan nila
8.2,26.2,ikan nila
7.7,26.4,ikan nila
8.8,26.3,ikan nila
8.8,26.2,ikan nila
8.1,26.2,ikan nila
7.9,26.1,ikan nila
9.0,26.0,ikan nila
7.6,25.9,ikan nila
7.4,25.3,ikan nila
8.3,24.8,ikan nila
8.6,24.4,ikan nila
8.9,24.1,ikan nila
8.8,24.0,ikan nila
7.5,23.6,ikan nila
7.8,23.0,ikan nila
8.2,22.6,ikan nila
8.9,22.6,ikan nila
8.5,22.4,ikan nila
8.0,22.3,ikan nila
7.5,22.0,ikan nila
8.4,21.5,ikan nila
8.9,21.6,ikan nila
8.0,22.1,ikan nila
8.7,22.3,ikan nila
8.4,23.2,ikan nila
8.2,23.3,ikan nila
8.0,23.9,ikan nila
7.4,24.4,ikan nila
8.5,24.5,ikan nila
7.7,24.8,ikan nila
7.8,25.2,ikan nila
8.4,25.9,ikan nila
9.0,26.4,ikan nila
7.7,26.3,ikan nila
7.5,26.2,ikan nila
7.4,25.5,ikan nila
8.1,24.8,ikan nila
8.3,24.6,ikan nila
7.4,24.6,ikan nila
7.8,24.2,ikan nila
7.5,23.9,ikan nila
8.3,23.2,ikan nila
8.5,23.0,ikan nila
8.7,22.8,ikan nila
8.6,22.4,ikan nila
7.6,22.4,ikan nila
8.4,22.0,ikan nila
7.7,21.9,ikan nila
7.7,21.6,ikan nila
8.9,21.5,ikan nila
9.0,21.5,ikan nila
8.6,21.8,ikan nila
9.0,22.2,ikan nila
8.2,22.4,ikan nila
7.9,22.8,ikan nila
7.6,23.0,ikan nila
7.8,24.1,ikan nila
8.9,24.4,ikan nila
8.9,24.5,ikan nila
8.6,24.5,ikan nila
8.0,24.8,ikan nila
9.0,25.1,ikan nila
8.1,25.2,ikan nila
8.1,26.3,ikan nila
7.9,25.9,ikan nila
7.9,25.8,ikan nila
8.7,25.4,ikan nila
7.6,25.1,ikan nila
9.0,25.0,ikan nila
8.7,23.4,ikan nila
9.0,23.3,ikan nila
8.4,22.9,ikan nila
8.0,22.2,ikan nila
7.4,22.0,ikan nila
8.4,21.3,ikan nila
8.0,21.3,ikan nila
7.4,22.1,ikan nila
9.0,22.1,ikan nila
8.4,22.6,ikan nila
8.3,22.8,ikan nila
8.9,22.9,ikan nila
8.7,23.1,ikan nila
7.9,23.1,ikan nila
7.5,23.1,ikan nila
8.4,24.3,ikan nila
8.9,25.1,ikan nila
8.8,25.8,ikan nila
8.3,26.1,ikan nila
8.4,25.5,ikan nila
7.5,25.4,ikan nila
8.6,25.0,ikan nila
8.2,24.7,ikan nila
8.6,24.2,ikan nila
8.1,24.1,ikan nila
8.4,24.1,ikan nila
8.0,23.4,ikan nila
8.5,23.1,ikan nila
7.8,22.6,ikan nila
8.0,22.6,ikan nila
8.7,22.6,ikan nila
7.4,22.5,ikan nila
8.7,22.0,ikan nila
7.9,21.6,ikan nila
8.4,21.4,ikan nila
8.7,21.3,ikan nila
9.0,21.7,ikan nila
8.5,21.8,ikan nila
8.3,22.1,ikan nila
9.0,23.2,ikan nila
7.9,23.4,ikan nila
8.2,24.1,ikan nila
8.6,24.7,ikan nila
7.8,25.7,ikan nila
9.0,25.8,ikan nila
8.6,26.0,ikan nila
8.9,25.9,ikan nila
8.6,25.8,ikan nila
8.8,24.6,ikan nila
7.7,24.3,ikan nila
8.7,23.8,ikan nila
7.8,23.8,ikan nila
7.5,23.4,ikan nila
8.4,22.4,ikan nila
8.1,22.2,ikan nila
7.4,21.4,ikan nila
8.5,22.1,ikan nila
7.4,23.2,ikan nila
8.1,23.3,ikan nila
8.0,24.4,ikan nila
7.9,25.3,ikan nila
8.2,25.4,ikan nila
7.4,26.3,ikan nila
7.8,26.3,ikan nila
7.9,26.3,ikan nila
8.7,26.2,ikan nila
7.7,25.8,ikan nila
7.9,24.7,ikan nila
8.0,24.2,ikan nila
8.7,24.1,ikan nila
8.2,23.9,ikan nila
8.7,23.5,ikan nila
9.0,24.2,ikan nila
8.1,23.4,ikan nila
8.2,22.8,ikan nila
7.4,22.6,ikan nila
7.4,22.4,ikan nila
7.4,22.3,ikan nila
9.0,22.5,ikan nila
8.7,22.5,ikan nila
8.3,23.3,ikan nila
7.6,23.4,ikan nila
9.0,23.5,ikan nila
9.0,23.7,ikan nila
8.9,23.8,ikan nila
7.6,25.6,ikan nila
8.2,26.7,ikan nila
7.5,26.7,ikan nila
7.5,27.2,ikan nila
9.0,27.2,ikan nila
7.9,27.3,ikan nila
7.5,27.3,ikan nila
8.2,27.2,ikan nila
8.8,27.2,ikan nila
8.9,27.1,ikan nila
8.4,26.9,ikan nila
9.0,26.9,ikan nila
9.0,26.6,ikan nila
8.7,26.4,ikan nila
8.5,26.0,ikan nila
8.8,25.3,ikan nila
8.8,25.2,ikan nila
8.6,24.9,ikan nila
7.8,24.0,ikan nila
8.6,24.0,ikan nila
8.4,23.7,ikan nila
7.9,23.5,ikan nila
8.9,23.3,ikan nila
8.9,22.8,ikan nila
7.4,0.0,unknown
8.1,0.0,unknown
8.9,0.0,unknown
7.6,26.2,ikan nila
7.7,27.4,ikan nila
8.1,27.7,ikan nila
8.4,27.7,ikan nila
8.3,27.8,ikan nila
7.4,27.9,ikan nila
7.5,27.9,ikan nila
8.8,27.7,ikan nila
7.5,27.7,ikan nila
8.2,27.1,ikan nila
8.4,27.1,ikan nila
7.7,27.0,ikan nila
7.7,26.7,ikan nila
8.7,26.5,ikan nila
7.4,26.2,ikan nila
7.9,25.4,ikan nila
9.0,25.3,ikan nila
8.9,25.3,ikan nila
8.3,25.3,ikan nila
9.0,24.9,ikan nila
7.8,25.9,ikan nila
7.5,25.5,ikan nila
7.4,24.8,ikan nila
8.0,24.6,ikan nila
7.3,24.6,ikan nila
7.3,24.4,ikan nila
8.3,24.5,ikan nila
8.4,25.2,ikan nila
8.0,26.1,ikan nila
8.0,26.5,ikan nila
7.9,26.7,ikan nila
8.7,27.5,ikan nila
8.4,27.6,ikan nila
8.5,27.6,ikan nila
7.9,27.7,ikan nila
7.5,28.6,ikan nila
7.7,29.1,ikan nila
8.6,29.3,ikan nila
8.8,29.8,ikan nila
7.9,29.8,ikan nila
7.5,30.1,ikan nila
7.4,30.1,ikan nila
8.1,29.9,ikan nila
8.5,29.8,ikan nila
7.8,29.8,ikan nila
7.3,29.7,ikan nila
7.8,29.7,ikan nila
8.1,29.3,ikan nila
7.5,29.1,ikan nila
8.2,28.9,ikan nila
8.7,28.6,ikan nila
7.4,28.4,ikan nila
8.0,28.3,ikan nila
7.6,28.3,ikan nila
8.2,27.3,ikan nila
8.6,26.7,ikan nila
8.1,26.7,ikan nila
8.5,26.6,ikan nila
8.0,26.3,ikan nila
8.5,26.1,ikan nila
8.1,26.0,ikan nila
8.2,26.0,ikan nila
8.2,25.9,ikan nila
8.3,25.7,ikan nila
8.2,25.1,ikan nila
7.7,24.7,ikan nila
7.5,24.5,ikan nila
8.7,24.7,ikan nila
8.5,24.9,ikan nila
8.1,25.8,ikan nila
7.5,26.9,ikan nila
7.3,27.1,ikan nila
8.0,27.9,ikan nila
8.3,28.0,ikan nila
8.9,28.1,ikan nila
7.6,28.1,ikan nila
8.4,28.6,ikan nila
5.1,30.9,unknown
5.4,32.2,unknown
5.1,30.7,unknown
5.2,32.0,unknown
5.0,32.2,unknown
5.6,32.4,unknown
5.1,28.9,unknown
5.0,28.6,unknown
5.0,31.3,unknown
5.7,32.2,unknown
5.5,33.3,unknown
5.2,32.3,unknown
5.6,30.6,ikan gurame
6.6,33.0,ikan nila
5.9,32.1,unknown
6.3,31.9,ikan lele
6.6,34.6,ikan nila
5.9,34.9,unknown
6.5,36.4,unknown
5.8,36.5,unknown
5.8,36.2,unknown
5.8,36.6,unknown
5.1,24.2,unknown
4.6,30.9,unknown
5.2,27.7,unknown
4.5,25.2,unknown
4.9,24.7,unknown
5.6,24.0,ikan gurame
4.7,23.9,unknown
6.6,25.2,ikan nila
4.9,25.2,unknown
6.0,25.2,ikan lele
4.7,25.0,unknown
4.5,24.8,unknown
6.4,24.6,ikan lele
5.9,24.5,ikan gurame
4.8,24.5,unknown
5.3,24.5,unknown
7.0,24.4,ikan nila
7.1,24.1,ikan nila
4.7,24.0,unknown
6.5,23.9,ikan nila
4.9,23.9,unknown
7.2,23.5,ikan nila
5.3,23.2,unknown
5.5,23.1,ikan gurame
5.9,23.0,ikan gurame
4.9,23.0,unknown
6.5,22.9,ikan nila
6.3,22.7,ikan lele
4.8,22.5,unknown
6.1,22.4,ikan lele
5.6,22.4,ikan gurame
4.8,22.3,unknown
5.9,22.2,ikan gurame
7.1,21.9,ikan nila
7.2,21.8,ikan nila
5.2,21.8,unknown
6.6,22.0,ikan nila
5.8,22.2,ikan gurame
6.6,22.2,ikan nila
5.2,22.3,unknown
5.3,22.6,unknown
6.9,22.7,ikan nila
4.9,22.7,unknown
7.3,23.2,ikan nila
6.9,23.3,ikan nila
6.7,23.4,ikan nila
6.8,23.7,ikan nila
6.4,23.9,ikan lele
6.3,25.0,ikan lele
4.8,25.1,unknown
6.5,25.1,ikan nila
6.4,25.5,ikan lele
5.7,25.9,ikan gurame
4.9,26.0,unknown
4.9,26.1,unknown
5.5,26.3,ikan gurame
6.3,26.3,ikan lele
5.8,26.3,ikan gurame
5.5,26.5,ikan gurame
6.0,26.6,ikan lele
6.6,26.9,ikan nila
