Date;Time;PH;TEMP
02/02/2022;04:20:00;7.4;23.66
02/02/2022;04:40:00;7.4;23.64
02/02/2022;05:00:00;8.8;23.46
02/02/2022;05:20:00;7.4;23.42
02/02/2022;05:40:00;8.1;23.16
02/02/2022;06:00:00;8.2;22.97
02/02/2022;06:20:00;8.5;22.9
02/02/2022;06:40:00;8.4;22.73
02/02/2022;07:00:00;7.9;22.71
03/02/2022;07:20:00;8.6;22.53
03/02/2022;07:40:00;7.8;22.45
03/02/2022;08:00:00;8.5;22.17
03/02/2022;08:20:00;7.5;22.12
03/02/2022;08:40:00;8.2;22.05
03/02/2022;09:00:00;8.4;21.72
03/02/2022;09:20:00;8.3;21.71
03/02/2022;09:40:00;8.5;21.63
03/02/2022;10:00:00;7.6;21.62
03/02/2022;10:20:00;7.6;21.36
03/02/2022;10:40:00;7.6;21.02
03/02/2022;11:00:00;8.8;21.2
03/02/2022;11:20:00;8.3;21.24
03/02/2022;11:40:00;8.9;21.27
03/02/2022;12:00:00;8.5;21.51
03/02/2022;12:20:00;8.9;21.9
03/02/2022;12:40:00;8.1;22.1
03/02/2022;13:00:00;8.2;22.34
03/02/2022;13:20:00;7.8;22.5
03/02/2022;13:40:00;7.5;22.7
03/02/2022;14:00:00;8.2;22.72
03/02/2022;14:20:00;7.3;23.48
03/02/2022;14:40:00;7.3;23.52
03/02/2022;15:00:00;7.7;23.84
03/02/2022;15:20:00;8.7;23.89
03/02/2022;15:40:00;8.8;24.12
03/02/2022;16:00:00;8.4;24.15
03/02/2022;16:20:00;8.8;24.21
03/02/2022;16:40:00;8.5;24.23
03/02/2022;17:00:00;7.9;24.52
03/02/2022;17:20:00;8.9;24.8
03/02/2022;17:40:00;8;24.91
03/02/2022;18:00:00;7.5;24.97
03/02/2022;18:20:00;7.8;25.63
03/02/2022;18:40:00;7.8;25.51
03/02/2022;19:00:00;8.6;25.1
03/02/2022;19:20:00;8.3;25.07
03/02/2022;19:40:00;8.8;25.06
03/02/2022;20:00:00;8.1;24.93
03/02/2022;20:20:00;8.6;24.85
03/02/2022;20:40:00;7.5;24.84
03/02/2022;21:00:00;8.9;24.66
03/02/2022;21:20:00;8.5;24.19
03/02/2022;21:40:00;7.5;24.05
03/02/2022;22:00:00;8.5;23.89
03/02/2022;22:20:00;8.8;23.77
03/02/2022;22:40:00;8.4;23.76
03/02/2022;23:00:00;8.3;23.74
03/02/2022;23:20:00;8;23.66
03/02/2022;23:40:00;8.5;23.66
03/02/2022;00:00:00;7.9;23.57
03/02/2022;00:20:00;7.3;23.54
03/02/2022;00:40:00;7.4;23.45
03/02/2022;01:00:00;8.6;23.14
03/02/2022;01:20:00;8.9;23.07
03/02/2022;01:40:00;7.5;23.01
03/02/2022;02:00:00;8;22.87
03/02/2022;02:20:00;8.3;22.61
03/02/2022;02:40:00;7.3;22.57
03/02/2022;03:00:00;8.8;22.53
03/02/2022;03:20:00;8.8;22.31
03/02/2022;03:40:00;7.7;22.26
03/02/2022;04:00:00;7.7;22.25
03/02/2022;04:20:00;7.9;21.96
03/02/2022;04:40:00;8.1;21.72
03/02/2022;05:00:00;7.3;21.7
03/02/2022;05:20:00;7.5;21.63
03/02/2022;05:40:00;8;21.1
03/02/2022;06:00:00;8.3;21.09
03/02/2022;06:20:00;7.9;21.01
03/02/2022;06:40:00;8.7;21.73
03/02/2022;07:00:00;7.3;21.8
04/02/2022;07:20:00;8.9;21.8
04/02/2022;07:40:00;8.3;22.33
04/02/2022;08:00:00;8.2;22.49
04/02/2022;08:20:00;8.8;22.6
04/02/2022;08:40:00;8.6;22.79
04/02/2022;09:00:00;7.8;22.81
04/02/2022;09:20:00;7.4;22.85
04/02/2022;09:40:00;8;22.94
04/02/2022;10:00:00;8.3;22.96
04/02/2022;10:20:00;8.6;23.7
04/02/2022;10:40:00;8.3;23.97
04/02/2022;11:00:00;8.2;24.53
04/02/2022;11:20:00;7.6;24.62
04/02/2022;11:40:00;8.8;24.81
04/02/2022;12:00:00;8;25.39
04/02/2022;12:20:00;8;25.42
04/02/2022;12:40:00;8.7;25.47
04/02/2022;13:00:00;8.2;25.8
04/02/2022;13:20:00;7.9;25.56
04/02/2022;13:40:00;8.5;25.38
04/02/2022;14:00:00;8.3;25.22
04/02/2022;14:20:00;7.4;25.13
04/02/2022;14:40:00;7.5;25.03
04/02/2022;15:00:00;7.7;24.86
04/02/2022;15:20:00;8.5;24.73
04/02/2022;15:40:00;7.3;24.66
04/02/2022;16:00:00;8.1;24.57
04/02/2022;16:20:00;8.1;24.45
04/02/2022;16:40:00;8.1;24.4
04/02/2022;17:00:00;8.7;24.25
04/02/2022;17:20:00;7.3;24.22
04/02/2022;17:40:00;7.5;24.16
04/02/2022;18:00:00;7.7;24.14
04/02/2022;18:20:00;8.5;23.94
04/02/2022;18:40:00;8;23.78
04/02/2022;19:00:00;8.3;23.77
04/02/2022;19:20:00;8.1;23.74
04/02/2022;19:40:00;7.5;23.72
04/02/2022;20:00:00;8;23.64
04/02/2022;20:20:00;8.4;23.56
04/02/2022;20:40:00;8.8;23.3
04/02/2022;21:00:00;7.9;23.17
04/02/2022;21:20:00;8.8;23.16
04/02/2022;21:40:00;7.3;23.13
04/02/2022;22:00:00;8.7;23.02
04/02/2022;22:20:00;8.8;22.82
04/02/2022;22:40:00;8.4;22.78
04/02/2022;23:00:00;8.3;22.52
04/02/2022;23:20:00;7.7;22.38
04/02/2022;23:40:00;7.9;22.38
04/02/2022;00:00:00;8.6;22.31
04/02/2022;00:20:00;7.3;22.19
04/02/2022;00:40:00;7.6;22.18
04/02/2022;01:00:00;8.3;22.03
04/02/2022;01:20:00;7.8;21.92
04/02/2022;01:40:00;8.6;21.72
04/02/2022;02:00:00;7.7;21.71
04/02/2022;02:20:00;7.4;21.7
04/02/2022;02:40:00;8.1;21.55
04/02/2022;03:00:00;7.8;21.3
04/02/2022;03:20:00;8.3;21.1
04/02/2022;03:40:00;8.6;21.05
04/02/2022;04:00:00;7.9;21.25
04/02/2022;04:20:00;8.9;21.42
04/02/2022;04:40:00;8.4;21.58
04/02/2022;05:00:00;8.2;21.8
04/02/2022;05:20:00;7.4;21.88
04/02/2022;05:40:00;7.5;22.3
04/02/2022;06:00:00;8.9;22.97
04/02/2022;06:20:00;8.1;23.07
04/02/2022;06:40:00;7.8;23.14
04/02/2022;07:00:00;7.9;23.18
05/02/2022;07:20:00;8.7;23.24
05/02/2022;07:40:00;8.1;23.82
05/02/2022;08:00:00;7.6;24.09
05/02/2022;08:20:00;8.5;24.44
05/02/2022;08:40:00;8.8;24.49
05/02/2022;09:00:00;8.8;24.82
05/02/2022;09:20:00;7.7;25.44
05/02/2022;09:40:00;8.9;25.47
05/02/2022;10:00:00;7.8;25.58
05/02/2022;10:20:00;7.5;25.76
05/02/2022;10:40:00;8.5;25.71
05/02/2022;11:00:00;8.6;25.62
05/02/2022;11:20:00;8.8;25.58
05/02/2022;11:40:00;8.9;25.54
05/02/2022;12:00:00;8.5;25.51
05/02/2022;12:20:00;8.2;25.25
05/02/2022;12:40:00;8;24.92
05/02/2022;13:00:00;7.8;24.69
05/02/2022;13:20:00;8.8;24.68
05/02/2022;13:40:00;8.1;24.59
05/02/2022;14:00:00;8;24.31
05/02/2022;14:20:00;8.7;24.26
05/02/2022;14:40:00;7.6;24.05
05/02/2022;15:00:00;7.4;23.95
05/02/2022;15:20:00;8.5;23.93
05/02/2022;15:40:00;8.3;23.77
05/02/2022;16:00:00;8.2;23.7
05/02/2022;16:20:00;8.2;23.51
05/02/2022;16:40:00;8.6;23.51
05/02/2022;17:00:00;7.7;23.49
05/02/2022;17:20:00;7.8;23.31
05/02/2022;17:40:00;7.4;23.13
05/02/2022;18:00:00;7.7;23.02
05/02/2022;18:20:00;8;22.69
05/02/2022;18:40:00;7.7;22.26
05/02/2022;19:00:00;8.3;22.15
05/02/2022;19:20:00;8.1;21.93
05/02/2022;19:40:00;7.4;21.8
05/02/2022;20:00:00;7.7;21.75
05/02/2022;20:20:00;7.7;21.66
05/02/2022;20:40:00;7.3;21.12
05/02/2022;21:00:00;8.7;21.02
05/02/2022;21:20:00;7.9;21.4
05/02/2022;21:40:00;8.5;21.55
05/02/2022;22:00:00;8.4;21.88
05/02/2022;22:20:00;8;22.35
05/02/2022;22:40:00;8;23.05
05/02/2022;23:00:00;7.7;23.55
05/02/2022;23:20:00;7.3;23.76
05/02/2022;23:40:00;7.7;23.9
05/02/2022;00:00:00;7.9;24.13
05/02/2022;00:20:00;8.7;24.37
05/02/2022;00:40:00;8.1;24.74
05/02/2022;01:00:00;7.8;25.04
05/02/2022;01:20:00;8.1;25.12
05/02/2022;01:40:00;8.2;25.34
05/02/2022;02:00:00;7.8;25.37
05/02/2022;02:20:00;8;25.43
05/02/2022;02:40:00;8.7;25.5
05/02/2022;03:00:00;8.9;25.61
05/02/2022;03:20:00;7.3;25.96
05/02/2022;03:40:00;7.7;25.99
05/02/2022;04:00:00;7.8;25.96
05/02/2022;04:20:00;7.6;25.95
05/02/2022;04:40:00;8.6;25.9
05/02/2022;05:00:00;7.9;25.74
05/02/2022;05:20:00;8.3;25.63
05/02/2022;05:40:00;7.6;25.5
05/02/2022;06:00:00;7.7;25.32
05/02/2022;06:20:00;8.5;25.25
05/02/2022;06:40:00;8.4;25.01
05/02/2022;07:00:00;7.6;24.89
06/02/2022;07:20:00;8.8;24.83
06/02/2022;07:40:00;7.6;24.5
06/02/2022;08:00:00;7.8;24.38
06/02/2022;08:20:00;7.5;24.29
06/02/2022;08:40:00;7.6;24.1
06/02/2022;09:00:00;8.4;24.01
06/02/2022;09:20:00;7.9;23.9
06/02/2022;09:40:00;8.6;23.79
06/02/2022;10:00:00;8.2;23.68
06/02/2022;10:20:00;8.9;23.66
06/02/2022;10:40:00;8.1;23.62
06/02/2022;11:00:00;8.6;23.22
06/02/2022;11:20:00;8.7;23.18
06/02/2022;11:40:00;7.6;22.74
06/02/2022;12:00:00;8.9;23.88
06/02/2022;12:20:00;8.5;23.84
06/02/2022;12:40:00;8.2;23.41
06/02/2022;13:00:00;7.3;23.38
06/02/2022;13:20:00;8;23.08
06/02/2022;13:40:00;8.2;22.91
06/02/2022;14:00:00;7.5;22.88
06/02/2022;14:20:00;8.4;22.83
06/02/2022;14:40:00;8;22.75
06/02/2022;15:00:00;8.1;22.55
06/02/2022;15:20:00;7.3;22.33
06/02/2022;15:40:00;7.3;22.13
06/02/2022;16:00:00;7.3;22.08
06/02/2022;16:20:00;8.6;22.04
06/02/2022;16:40:00;7.5;22.14
06/02/2022;17:00:00;8.9;22.2
06/02/2022;17:20:00;8.6;22.28
06/02/2022;17:40:00;8.2;22.28
06/02/2022;18:00:00;7.3;22.97
06/02/2022;18:20:00;8.2;23.07
06/02/2022;18:40:00;7.5;23.16
06/02/2022;19:00:00;8.9;23.23
06/02/2022;19:20:00;8.9;23.37
06/02/2022;19:40:00;8.8;23.47
06/02/2022;20:00:00;8.8;23.79
06/02/2022;20:20:00;7.4;24.48
06/02/2022;20:40:00;7.5;25.32
06/02/2022;21:00:00;8.5;25.5
06/02/2022;21:20:00;8;25.62
06/02/2022;21:40:00;8;25.85
06/02/2022;22:00:00;8.1;26.35
06/02/2022;22:20:00;7.4;26.36
06/02/2022;22:40:00;8.4;26.71
06/02/2022;23:00:00;7.4;26.91
06/02/2022;23:20:00;8.9;26.91
06/02/2022;23:40:00;7.8;26.98
06/02/2022;00:00:00;7.4;26.98
06/02/2022;00:20:00;8.1;26.84
06/02/2022;00:40:00;8.7;26.84
06/02/2022;01:00:00;8.8;26.73
06/02/2022;01:20:00;8.3;26.59
06/02/2022;01:40:00;8.9;26.56
06/02/2022;02:00:00;7.5;26.42
06/02/2022;02:20:00;8.9;26.33
06/02/2022;02:40:00;8.6;26.08
06/02/2022;03:00:00;8.4;25.71
06/02/2022;03:20:00;7.3;25.6
06/02/2022;03:40:00;8.6;25.32
06/02/2022;04:00:00;7.8;25.3
06/02/2022;04:20:00;7.7;25.21
06/02/2022;04:40:00;8.6;25.2
06/02/2022;05:00:00;8.1;25.1
06/02/2022;05:20:00;7.7;25.05
06/02/2022;05:40:00;8.7;25.04
06/02/2022;06:00:00;8.7;24.86
06/02/2022;06:20:00;8.6;24.78
06/02/2022;06:40:00;8.5;24.63
06/02/2022;07:00:00;7.5;24.42
07/02/2022;07:20:00;7.5;24.17
07/02/2022;07:40:00;7.5;24.16
07/02/2022;08:00:00;7.6;24.06
07/02/2022;08:20:00;8;23.85
07/02/2022;08:40:00;7.7;23.76
07/02/2022;09:00:00;8.5;23.68
07/02/2022;09:20:00;7.6;23.67
07/02/2022;09:40:00;7.4;23.65
07/02/2022;10:00:00;8.3;23.46
07/02/2022;10:20:00;7.6;23.25
07/02/2022;10:40:00;7.8;23.18
07/02/2022;11:00:00;8;23.05
07/02/2022;11:20:00;8.1;22.99
07/02/2022;11:40:00;8.8;22.99
07/02/2022;12:00:00;8.2;22.89
07/02/2022;12:20:00;8.8;22.57
07/02/2022;12:40:00;8.7;24.43
07/02/2022;13:00:00;8.4;24.62
07/02/2022;13:20:00;8.9;24.75
07/02/2022;13:40:00;7.5;24.85
07/02/2022;14:00:00;8;25.01
07/02/2022;14:20:00;8.1;25.13
07/02/2022;14:40:00;8.7;25.27
07/02/2022;15:00:00;7.4;25.42
07/02/2022;15:20:00;8.2;25.73
07/02/2022;15:40:00;7.5;25.89
07/02/2022;16:00:00;8.3;26.49
07/02/2022;16:20:00;7.3;26.73
07/02/2022;16:40:00;7.6;27.11
07/02/2022;17:00:00;8;27.35
07/02/2022;17:20:00;8.3;27.4
07/02/2022;17:40:00;8.2;27.43
07/02/2022;18:00:00;7.3;27.52
07/02/2022;18:20:00;7.4;27.59
07/02/2022;18:40:00;8.7;27.37
07/02/2022;19:00:00;8.1;26.82
07/02/2022;19:20:00;8.3;26.79
07/02/2022;19:40:00;7.6;26.68
07/02/2022;20:00:00;7.6;26.43
07/02/2022;20:20:00;8.9;26.33
07/02/2022;20:40:00;8.6;26.16
07/02/2022;21:00:00;7.3;25.87
07/02/2022;21:20:00;7.5;25.7
07/02/2022;21:40:00;7.6;25.5
07/02/2022;22:00:00;7.4;25.37
07/02/2022;22:20:00;8.5;25.3
07/02/2022;22:40:00;7.8;25.06
07/02/2022;23:00:00;8;25
07/02/2022;23:20:00;8.9;24.99
07/02/2022;23:40:00;8.8;24.98
07/02/2022;00:00:00;8.2;24.97
07/02/2022;00:20:00;7.7;24.92
07/02/2022;00:40:00;7.5;24.87
07/02/2022;01:00:00;8.4;24.83
07/02/2022;01:20:00;8.9;24.57
07/02/2022;01:40:00;8.3;24.29
07/02/2022;02:00:00;7.5;24.14
07/02/2022;02:20:00;7.5;24.07
07/02/2022;02:40:00;8.9;25.58
07/02/2022;03:00:00;7.8;25.55
07/02/2022;03:20:00;8.5;25.45
07/02/2022;03:40:00;7.5;25.18
07/02/2022;04:00:00;8.9;24.94
07/02/2022;04:20:00;8.2;24.91
07/02/2022;04:40:00;8.7;24.6
07/02/2022;05:00:00;7.4;24.54
07/02/2022;05:20:00;8.5;24.35
07/02/2022;05:40:00;8;24.33
07/02/2022;06:00:00;8.6;24.3
07/02/2022;06:20:00;7.3;24.27
07/02/2022;06:40:00;8.1;24.15
07/02/2022;07:00:00;7.3;24.11
08/02/2022;07:20:00;8.3;24.22
08/02/2022;07:40:00;8.1;24.5
08/02/2022;08:00:00;8.9;24.58
08/02/2022;08:20:00;7.5;24.86
08/02/2022;08:40:00;8.4;24.92
08/02/2022;09:00:00;8.7;25.06
08/02/2022;09:20:00;7.6;25.16
08/02/2022;09:40:00;8.7;25.25
08/02/2022;10:00:00;7.5;25.63
08/02/2022;10:20:00;8;25.82
08/02/2022;10:40:00;8;26.15
08/02/2022;11:00:00;7.9;26.35
08/02/2022;11:20:00;8.3;26.46
08/02/2022;11:40:00;8.7;27.16
08/02/2022;12:00:00;8.4;27.23
08/02/2022;12:20:00;8.5;27.31
08/02/2022;12:40:00;7.9;27.42
08/02/2022;13:00:00;7.9;27.65
08/02/2022;13:20:00;7.5;28.31
08/02/2022;13:40:00;7.7;28.73
08/02/2022;14:00:00;8.6;28.94
08/02/2022;14:20:00;8.8;29.4
08/02/2022;14:40:00;7.9;29.43
08/02/2022;15:00:00;7.5;29.76
08/02/2022;15:20:00;7.4;29.71
08/02/2022;15:40:00;8.1;29.51
08/02/2022;16:00:00;8.5;29.49
08/02/2022;16:20:00;7.8;29.45
08/02/2022;16:40:00;7.3;29.34
08/02/2022;17:00:00;7.8;29.32
08/02/2022;17:20:00;8.1;28.98
08/02/2022;17:40:00;7.5;28.77
08/02/2022;18:00:00;7.9;28.7
08/02/2022;18:20:00;8.2;28.53
08/02/2022;18:40:00;8.7;28.28
08/02/2022;19:00:00;7.4;28.09
08/02/2022;19:20:00;8;27.95
08/02/2022;19:40:00;7.6;27.93
08/02/2022;20:00:00;7.4;27.75
08/02/2022;20:20:00;7.4;27.29
08/02/2022;20:40:00;8.2;26.98
08/02/2022;21:00:00;8.9;26.64
08/02/2022;21:20:00;8.3;26.44
08/02/2022;21:40:00;8.6;26.4
08/02/2022;22:00:00;8.1;26.35
08/02/2022;22:20:00;8.9;26.33
08/02/2022;22:40:00;8.5;26.29
08/02/2022;23:00:00;7.5;26.12
08/02/2022;23:20:00;8.1;26.1
08/02/2022;23:40:00;8;25.95
08/02/2022;00:00:00;8.1;25.86
08/02/2022;00:20:00;8.9;25.77
08/02/2022;00:40:00;8.6;26.11
08/02/2022;01:00:00;8.5;25.75
08/02/2022;01:20:00;8.1;25.71
08/02/2022;01:40:00;8.2;25.68
08/02/2022;02:00:00;8.2;25.64
08/02/2022;02:20:00;8.6;25.59
08/02/2022;02:40:00;8;25.51
08/02/2022;03:00:00;8.3;25.36
08/02/2022;03:20:00;8.9;25.36
08/02/2022;03:40:00;7.6;25.33
08/02/2022;04:00:00;8.2;24.79
08/02/2022;04:20:00;7.7;24.41
08/02/2022;04:40:00;7.5;24.23
08/02/2022;05:00:00;7.7;24.13
08/02/2022;05:20:00;7.3;24.15
08/02/2022;05:40:00;8.7;24.43
08/02/2022;06:00:00;8.1;24.51
08/02/2022;06:20:00;8.5;24.59
08/02/2022;06:40:00;8;25.07
08/02/2022;07:00:00;8.1;25.47
09/02/2022;07:20:00;8.1;26.47
09/02/2022;07:40:00;7.5;26.62
09/02/2022;08:00:00;7.3;26.74
09/02/2022;08:20:00;8;27.55
09/02/2022;08:40:00;7.8;27.62
09/02/2022;09:00:00;8.3;27.68
09/02/2022;09:20:00;8.9;27.74
09/02/2022;09:40:00;7.6;27.81
09/02/2022;10:00:00;8.4;28.24
09/02/2022;10:20:00;6.2;33.09
09/02/2022;10:40:00;6.6;32.65
09/02/2022;11:00:00;6.4;34.05
09/02/2022;11:20:00;5.8;35.68
09/02/2022;11:40:00;77.924;246.422
09/02/2022;12:00:00;76.912;245.916
09/02/2022;12:20:00;8.602;2.457.136
09/02/2022;12:40:00;7.59;24.541
09/02/2022;13:00:00;74.888;243.892
09/02/2022;13:20:00;74.888;2.436.896
09/02/2022;13:40:00;87.032;2.417.668
09/02/2022;14:00:00;74.888;24.035
09/02/2022;14:20:00;87.032;2.399.452
09/02/2022;14:40:00;90.068;2.391.356
09/02/2022;15:00:00;85.008;2.389.332
09/02/2022;15:20:00;8.096;2.387.308
09/02/2022;15:40:00;8.096;2.382.248
09/02/2022;16:00:00;76.912;2.354.924
09/02/2022;16:20:00;73.876;2.328.612
09/02/2022;16:40:00;87.032;2.293.192
09/02/2022;17:00:00;8.602;2.259.796
09/02/2022;17:20:00;79.948;2.244.616
09/02/2022;17:40:00;83.996;2.230.448
09/02/2022;18:00:00;8.602;222.134
09/02/2022;18:20:00;83.996;2.219.316
09/02/2022;18:40:00;88.044;2.187.944
09/02/2022;19:00:00;7.59;218.592
09/02/2022;19:20:00;8.096;2.134.308
09/02/2022;19:40:00;77.924;2.131.272
09/02/2022;20:00:00;79.948;21.505
09/02/2022;20:20:00;7.59;2.167.704
09/02/2022;20:40:00;76.912;2.177.824
09/02/2022;21:00:00;79.948;2.202.112
09/02/2022;21:20:00;76.912;2.217.292
09/02/2022;21:40:00;87.032;2.219.316
09/02/2022;22:00:00;7.59;2.263.844
09/02/2022;22:20:00;73.876;2.275.988
09/02/2022;22:40:00;8.602;228.206
09/02/2022;23:00:00;81.972;2.316.468
09/02/2022;23:20:00;74.888;2.333.672
09/02/2022;23:40:00;74.888;2.434.872
09/02/2022;00:00:00;85.008;2.444.992
09/02/2022;00:20:00;7.59;2.444.992
09/02/2022;00:40:00;79.948;248.952
09/02/2022;01:00:00;89.056;2.523.928
09/02/2022;01:20:00;89.056;253.506
09/02/2022;01:40:00;8.602;2.544.168
09/02/2022;02:00:00;82.984;2.561.372
09/02/2022;02:20:00;87.032;2.561.372
09/02/2022;02:40:00;8.602;2.566.432
09/02/2022;03:00:00;83.996;25.806
09/02/2022;03:20:00;8.602;2.592.744
09/02/2022;03:40:00;81.972;2.623.104
09/02/2022;04:00:00;76.912;2.637.272
09/02/2022;04:20:00;88.044;262.614
09/02/2022;04:40:00;88.044;2.624.116
09/02/2022;05:00:00;8.096;2.623.104
09/02/2022;05:20:00;78.936;2.608.936
09/02/2022;05:40:00;90.068;2.603.876
09/02/2022;06:00:00;76.912;2.599.828
09/02/2022;06:20:00;7.59;2.592.744
09/02/2022;06:40:00;85.008;2.574.528
09/02/2022;07:00:00;77.924;2.561.372
10/02/2022;07:20:00;85.008;2.533.036
10/02/2022;07:40:00;73.876;2.532.024
10/02/2022;08:00:00;82.984;2.475.352
10/02/2022;08:20:00;89.056;2.470.292
10/02/2022;08:40:00;7.59;244.398
10/02/2022;09:00:00;8.602;2.442.968
10/02/2022;09:20:00;89.056;2.414.632
10/02/2022;09:40:00;88.044;2.401.476
10/02/2022;10:00:00;8.096;2.380.224
10/02/2022;10:20:00;8.096;2.377.188
10/02/2022;10:40:00;74.888;235.796
10/02/2022;11:00:00;89.056;2.341.768
10/02/2022;11:20:00;77.924;233.266
10/02/2022;11:40:00;81.972;2.293.192
10/02/2022;12:00:00;77.924;2.301.288
10/02/2022;12:20:00;81.972;2.264.856
10/02/2022;12:40:00;89.056;2.259.796
